first_name,second_name,team,element_type,total_points
Diego,Cavalieri,6,1,0
James,Daly,6,4,0
Theo,Walcott,7,3,62
Jordan,Pickford,7,1,145
Joel,Robles,7,1,0
Maarten,Stekelenburg,7,1,0
Leighton,Baines,7,2,82
Seamus,Coleman,7,2,39
Phil,Jagielka,7,2,60
Matthew,Pennington,7,2,0
Ramiro,Funes Mori,7,2,3
Ashley,Williams,7,2,56
Mason,Holgate,7,2,37
Jonjoe,Kenny,7,2,50
Michael,Keane,7,2,81
Yannick,Bolasie,7,3,35
Kevin,Mirallas,7,3,5
James,McCarthy,7,3,6
Muhamed,Besic,7,3,2
Morgan,Schneiderlin,7,3,52
Idrissa,Gueye,7,3,87
Tom,Davies,7,3,66
Ademola,Lookman,7,3,10
Davy,Klaassen,7,3,7
Dominic,Calvert-Lewin,7,4,88
Sandro,Ramírez,7,4,10
Wayne,Rooney,7,4,113
Gylfi,Sigurdsson,7,3,96
Cuco,Martina,7,2,55
Eliaquim,Mangala,7,2,22
Nikola,Vlasic,7,3,18
Oumar,Niasse,7,4,83
Beni,Baningime,7,3,7
Cenk,Tosun,7,4,55
Luke,Garbutt,7,2,0
Joel,Coleman,8,1,0
Jonas,Lössl,8,1,135
Christopher,Schindler,8,2,102
Chris,Löwe,8,2,60
Tommy,Smith,8,2,50
Michael,Hefele,8,2,1
Martin,Cranie,8,2,2
Jon Gorenc,Stankovic,8,2,0
Mark,Hudson,8,2,0
Mathias,Jorgensen,8,2,107
Aaron,Mooy,8,3,113
Rajiv,van La Parra,8,3,74
Jonathan,Hogg,8,3,53
Philip,Billing,8,3,22
Joe,Lolley,8,3,11
Jack,Payne,8,3,0
Dean,Whitehead,8,3,4
Harry,Bunn,8,3,0
Sean,Scannell,8,3,0
Elias,Kachunga,8,3,46
Tom,Ince,8,3,82
Danny,Williams,8,3,28
Collin,Quaner,8,4,44
Laurent,Depoitre,8,4,94
Steve,Mounie,8,4,92
Scott,Malone,8,2,41
Florent,Hadergjonaj,8,2,51
Abdelhamid,Sabiri,8,3,10
Robert,Green,8,1,0
Terence,Kongolo,8,2,30
Alex,Pritchard,8,3,40
Kasper,Schmeichel,9,1,123
Ben,Hamer,9,1,9
Wes,Morgan,9,2,61
Christian,Fuchs,9,2,57
Danny,Simpson,9,2,55
Robert,Huth,9,2,0
Yohan,Benalouane,9,2,1
Benjamin,Chilwell,9,2,65
Harry,Maguire,9,2,117
Riyad,Mahrez,9,3,195
Marc,Albrighton,9,3,107
Demarai,Gray,9,3,80
Daniel,Amartey,9,3,13
Nampalys,Mendy,9,3,0
Wilfred,Ndidi,9,3,78
Ahmed,Musa,9,3,0
Vicente,Iborra,9,3,58
Jamie,Vardy,9,4,183
Shinji,Okazaki,9,4,76
Kelechi,Iheanacho,9,4,54
Eldin,Jakupovic,9,1,4
Matty,James,9,3,26
Aleksandar,Dragovic,9,2,28
Hamza,Choudhury,9,3,13
George,Thomas,9,3,0
Adrien Sebastian,Perruchet Silva,9,3,23
Fousseni,Diabaté,9,4,21
Harvey,Barnes,9,3,3
Sam,Hughes,9,2,0
Layton,Ndukwu,9,2,0
Alex,Oxlade-Chamberlain,10,3,94
Simon,Mignolet,10,1,67
Loris,Karius,10,1,88
Dejan,Lovren,10,2,110
Alberto,Moreno,10,2,52
Nathaniel,Clyne,10,2,7
Joseph,Gomez,10,2,86
Joel,Matip,10,2,81
Ragnar,Klavan,10,2,78
James,Milner,10,2,77
Trent,Alexander-Arnold,10,2,83
Leiva,Lucas,10,3,0
Jordan,Henderson,10,3,75
Philippe,Coutinho,10,3,103
Emre,Can,10,3,92
Adam,Lallana,10,3,13
Oluwaseyi,Ojo,10,3,0
Sadio,Mané,10,3,147
Marko,Grujic,10,3,3
Georginio,Wijnaldum,10,3,85
Ben,Woodburn,10,3,1
Mohamed,Salah,10,3,303
Roberto,Firmino,10,4,181
Danny,Ings,10,4,18
Divock,Origi,10,4,1
Dominic,Solanke,10,4,38
Virgil,van Dijk,10,2,78
Andrew,Robertson,10,2,111
Jon,Flanagan,10,2,0
Danny,Ward,10,1,0
Conor,Masterson,10,2,0
Curtis,Jones,10,3,0
Rafael,Camacho,10,3,0
Ederson,Santana de Moraes,11,1,158
Claudio,Bravo,11,1,10
John,Stones,11,2,70
Aleksandar,Kolarov,11,2,0
Vincent,Kompany,11,2,60
Nicolás,Otamendi,11,2,156
Fabian,Delph,11,3,55
Raheem,Sterling,11,3,229
David,Silva,11,3,169
Gnegneri Yaya,Touré,11,3,16
Fernando,Luiz Rosa,11,3,120
Fernando Francisco,Reges,11,3,0
Kevin,De Bruyne,11,3,209
Ilkay,Gündogan,11,3,82
Manuel,Agudo Durán,11,3,0
Leroy,Sané,11,3,179
Bernardo Mota,Veiga de Carvalho e Silva,11,3,112
Sergio,Agüero,11,4,169
Gabriel Fernando,de Jesus,11,4,126
Kyle,Walker,11,2,138
Danilo Luiz,da Silva,11,2,100
Benjamin,Mendy,11,2,20
Phil,Foden,11,3,8
Brahim,Diaz,11,3,5
Oleksandr,Zinchenko,11,3,16
Oluwatosin,Adarabioyo,11,2,0
Aymeric,Laporte,11,2,35
Lukas,Nmecha,11,4,2
Alexis,Sánchez,12,3,152
Nemanja,Matic,12,3,91
David,De Gea,12,1,172
Sergio,Romero,12,1,7
Joel Dinis,Castro Pereira,12,1,0
Chris,Smalling,12,2,123
Phil,Jones,12,2,116
Luke,Shaw,12,2,48
Marcos,Rojo,12,2,23
Antonio,Valencia,12,2,146
Matteo,Darmian,12,2,27
Daley,Blind,12,2,28
Eric,Bailly,12,2,55
Axel,Tuanzebe,12,2,1
Victor,Lindelöf,12,2,47
Juan,Mata,12,3,100
Marouane,Fellaini,12,3,47
Michael,Carrick,12,3,4
Ashley,Young,12,3,98
Ander,Herrera,12,3,44
Jesse,Lingard,12,3,128
Anthony,Martial,12,3,125
Paul,Pogba,12,3,138
Scott,McTominay,12,3,21
Marcus,Rashford,12,4,104
Romelu,Lukaku,12,4,162
Andreas,Pereira,12,3,0
Zlatan,Ibrahimovic,12,4,5
Robert Kenedy,Nunes do Nascimento,13,3,51
Islam,Slimani,13,4,25
Robert,Elliot,13,1,57
Karl,Darlow,13,1,33
DeAndre,Yedlin,13,2,88
Ciaran,Clark,13,2,64
Jamaal,Lascelles,13,2,116
Paul,Dummett,13,2,52
Grant,Hanley,13,2,0
Jesús,Gámez Duarte,13,2,9
Florian,Lejeune,13,2,66
Matt,Ritchie,13,3,116
Jonjo,Shelvey,13,3,73
Yoan,Gouffran,13,3,0
Mohamed,Diamé,13,3,70
Jack,Colback,13,3,0
Christian,Atsu,13,3,78
Dwight,Gayle,13,4,94
Ayoze,Pérez,13,4,124
Aleksandar,Mitrovic,13,4,10
Daryl,Murphy,13,4,0
Massadio,Haidara,13,2,1
Siem,de Jong,13,3,0
Rolando,Aarons,13,3,5
Javier,Manquillo,13,2,49
Jacob,Murphy,13,3,51
Jose Luis,Mato Sanmartín,13,4,69
Chancel,Mbemba,13,2,20
Mikel,Merino,13,3,49
Isaac,Hayden,13,3,41
Henri,Saivet,13,3,8
Freddie,Woodman,13,1,0
