first_name,second_name,team,element_type,total_points
Petr,Cech,1,1,24
Bernd,Leno,1,1,106
Laurent,Koscielny,1,2,62
Héctor,Bellerín,1,2,60
Nacho,Monreal,1,2,77
Rob,Holding,1,2,24
Shkodran,Mustafi,1,2,80
Sead,Kolasinac,1,2,81
Konstantinos,Mavropanos,1,2,3
Stephan,Lichtsteiner,1,2,14
Sokratis,Papastathopoulos,1,2,64
Mesut,Özil,1,3,89
Aaron,Ramsey,1,3,91
Alex,Iwobi,1,3,99
Mohamed,Elneny,1,3,10
Granit,Xhaka,1,3,90
Henrikh,Mkhitaryan,1,3,98
Reiss,Nelson,1,3,0
Ainsley,Maitland-Niles,1,3,34
Danny,Welbeck,1,4,19
Alexandre,Lacazette,1,4,166
Pierre-Emerick,Aubameyang,1,4,205
Lucas,Torreira,1,3,78
Matteo,Guendouzi,1,3,47
Emiliano,Martínez,1,1,0
Emile,Smith-Rowe,1,3,0
Zech,Medley,1,2,0
Edward,Nketiah,1,4,10
Bukayo,Saka,1,3,1
Joseph,Willock,1,3,4
Carl,Jenkinson,1,2,4
Denis,Suárez,1,3,4
Asmir,Begovic,2,1,63
Artur,Boruc,2,1,46
Simon,Francis,2,2,40
Steve,Cook,2,2,85
Charlie,Daniels,2,2,44
Adam,Smith,2,2,70
Tyrone,Mings,2,2,5
Nathan,Aké,2,2,120
Jack,Simpson,2,2,10
Marc,Pugh,2,3,0
Andrew,Surman,2,3,36
Junior,Stanislas,2,3,56
Dan,Gosling,2,3,54
Jordon,Ibe,2,3,33
Lewis,Cook,2,3,22
Ryan,Fraser,2,3,181
Emerson,Hyndman,2,3,1
David,Brooks,2,3,123
Callum,Wilson,2,4,168
Lys,Mousset,2,4,28
Joshua,King,2,4,141
Jermain,Defoe,2,4,4
Nathaniel,Clyne,2,2,34
Dominic,Solanke,2,4,15
Diego,Rico,2,2,8
Jefferson,Lerma,2,3,75
Chris,Mepham,2,2,27
Sam,Surridge,2,4,2
Kyle,Taylor,2,3,0
Nnamdi,Ofoborh,2,3,0
Mark,Travers,2,1,9
Matt,Butcher,2,3,0
Mathew,Ryan,3,1,104
Lewis,Dunk,3,2,91
Shane,Duffy,3,2,115
Bruno,Saltor Grau,3,2,46
Gaëtan,Bong,3,2,48
Markus,Suttner,3,2,0
Ezequiel,Schelotto,3,2,0
Leon,Balogun,3,2,15
Anthony,Knockaert,3,3,74
Dale,Stephens,3,3,65
Beram,Kayal,3,3,36
Solomon,March,3,3,94
Pascal,Groß,3,3,80
Davy,Pröpper,3,3,72
José Heriberto,Izquierdo Mena,3,3,31
Glenn,Murray,3,4,129
Tomer,Hemed,3,4,0
Sam,Baldock,3,4,0
Jürgen,Locadia,3,4,52
Florin,Andone,3,4,38
David,Button,3,1,15
Jason,Steele,3,1,0
Bernardo,Fernandes da Silva Junior,3,2,39
Yves,Bissouma,3,3,43
Alireza,Jahanbakhsh,3,3,33
Martín,Montoya,3,2,45
Viktor,Gyokeres,3,4,0
Ben,White,3,2,0
Max,Sanders,3,3,0
Dan,Burn,3,2,0
Jayson,Molumby,3,3,0
Tom,Heaton,4,1,58
Nick,Pope,4,1,0
Matthew,Lowton,4,2,34
Ben,Mee,4,2,81
Stephen,Ward,4,2,7
James,Tarkowski,4,2,97
Kevin,Long,4,2,16
Charlie,Taylor,4,2,82
Phil,Bardsley,4,2,33
Johann Berg,Gudmundsson,4,3,92
Steven,Defour,4,3,10
Jeff,Hendrick,4,3,73
Robbie,Brady,4,3,20
Ashley,Westwood,4,3,111
Jonathan,Walters,4,3,0
Jack,Cork,4,3,87
Aaron,Lennon,4,3,41
Sam,Vokes,4,4,48
Ashley,Barnes,4,4,122
Nahki,Wells,4,4,0
Chris,Wood,4,4,131
Anders,Lindegaard,4,1,0
Joe,Hart,4,1,69
Ben,Gibson,4,2,6
Matej,Vydra,4,4,21
Dwight,McNeil,4,3,75
Abd-Al-Ali Morakinyo Olaposi,Koiki,4,2,0
Josh,Benson,4,3,0
Peter,Crouch,4,4,8
Anthony,Driscoll-Glennon,4,2,0
Harry,Arter,5,3,48
Neil,Etheridge,5,1,154
Alex,Smithies,5,1,0
Sean,Morrison,5,2,97
Sol,Bamba,5,2,95
Bruno,Ecuele Manga,5,2,97
Matthew,Connolly,5,2,0
Joe,Bennett,5,2,77
Lee,Peltier,5,2,43
Ashley Darel Jazz,Richards,5,2,2
Greg,Halford,5,2,0
Joe,Ralls,5,3,45
David Junior,Hoilett,5,3,82
Nathaniel,Mendez-Laing,5,3,63
Callum,Paterson,5,3,80
Aron,Gunnarsson,5,3,65
Anthony,Pilkington,5,3,0
Loïc,Damour,5,3,2
Danny,Ward,5,3,22
Josh,Murphy,5,3,76
Kenneth,Zohore,5,4,33
Omar,Bogle,5,4,0
Gary,Madine,5,4,5
Bobby,Reid,5,4,80
Oumar,Niasse,5,4,30
Greg,Cunninghamm,5,2,9
Víctor,Camarasa,5,3,106
Kadeem,Harris,5,3,24
Brian,Murphy,5,1,0
Rhys,Healey,5,4,3
Leandro,Bacuna,5,2,17
Thibaut,Courtois,6,1,0
Willy,Caballero,6,1,13
César,Azpilicueta,6,2,158
Gary,Cahill,6,2,2
Marcos,Alonso,6,2,161
David,Luiz Moreira Marinho,6,2,164
Victor,Moses,6,2,2
Antonio,Rüdiger,6,2,116
Andreas,Christensen,6,2,22
Davide,Zappacosta,6,2,9
Emerson,Palmieri dos Santos,6,2,22
Eden,Hazard,6,3,238
Cesc,Fàbregas,6,3,6
Willian,Borges Da Silva,6,3,108
Pedro,Rodríguez Ledesma,6,3,112
N'Golo,Kanté,6,3,116
Ross,Barkley,6,3,79
Daniel,Drinkwater,6,3,0
Tiemoué,Bakayoko,6,3,0
Ethan,Ampadu,6,3,0
Callum,Hudson-Odoi,6,3,18
Ruben,Loftus-Cheek,6,3,79
Olivier,Giroud,6,4,55
Álvaro,Morata,6,4,46
Jorge Luiz,Frello Filho,6,3,96
Tammy,Abraham,6,4,0
Kepa,Arrizabalaga,6,1,142
Mateo,Kovacic,6,3,64
Gonzalo,Higuaín,6,4,53
Addji Keaninkin Marc-Israel,Guehi,6,2,0
Wayne,Hennessey,7,1,67
Julian,Speroni,7,1,1
Vicente,Guaita,7,1,81
James,Tomkins,7,2,86
Scott,Dann,7,2,23
Martin,Kelly,7,2,26
Jeffrey,Schlupp,7,2,91
Patrick,van Aanholt,7,2,140
Mamadou,Sakho,7,2,88
Jairo,Riedewald,7,2,0
Aaron,Wan-Bissaka,7,2,120
James,McArthur,7,3,121
Bakary,Sako,7,3,4
Andros,Townsend,7,3,135
Luka,Milivojevic,7,3,166
Wilfried,Zaha,7,4,143
Christian,Benteke,7,4,33
Alexander,Sørloth,7,4,12
Cheikhou,Kouyaté,7,3,67
Joel,Ward,7,2,13
Jaroslaw,Jach,7,2,0
Pape,Souaré,7,2,1
Connor,Wickham,7,4,9
Sullay,Kaikai,7,3,0
Max,Meyer,7,3,60
Jordan,Ayew,7,4,46
Joe,Tupper,7,1,0
Lucas,Perri,7,1,0
Michy,Batshuayi,7,4,48
Sam,Woods,7,2,0
Luke,Dreher,7,3,1
Nikola,Tavares,7,2,0
Jordan,Pickford,8,1,161
Maarten,Stekelenburg,8,1,0
Leighton,Baines,8,2,7
Seamus,Coleman,8,2,125
Phil,Jagielka,8,2,22
Ashley,Williams,8,2,0
Mason,Holgate,8,2,5
Jonjoe,Kenny,8,2,19
Michael,Keane,8,2,129
Cuco,Martina,8,2,0
Theo,Walcott,8,3,101
Yannick,Bolasie,8,3,0
James,McCarthy,8,3,1
Morgan,Schneiderlin,8,3,28
Idrissa,Gueye,8,3,78
Tom,Davies,8,3,26
Ademola,Lookman,8,3,34
Davy,Klaassen,8,3,0
Gylfi,Sigurdsson,8,3,182
Nikola,Vlasic,8,3,0
Beni,Baningime,8,3,0
Dominic,Calvert-Lewin,8,4,92
Cenk,Tosun,8,4,56
Richarlison,de Andrade,8,3,153
Kevin,Mirallas,8,3,0
Sandro,Ramírez,8,4,0
Lucas,Digne,8,2,158
Yerry,Mina,8,2,36
Bernard,Anício Caldeira Duarte,8,3,88
André Filipe,Tavares Gomes,8,3,64
Kurt,Zouma,8,2,112
Kieran,Dowell,8,3,0
Tyias,Browning,8,2,0
Calum,Chambers,9,2,60
Marcus,Bettinelli,9,1,15
Tim,Ream,9,2,50
Denis,Odoi,9,2,44
Tom,Cairney,9,3,71
Kevin,McDonald,9,3,17
Ryan,Sessegnon,9,3,94
Stefan,Johansen,9,3,11
Floyd,Ayité,9,3,24
Neeskens,Kebano,9,3,7
Rui Pedro,da Rocha Fonte,9,3,0
Aboubakar,Kamara,9,4,28
Maxime,Le Marchand,9,2,38
Jean Michael,Seri,9,3,72
Cyrus,Christie,9,2,42
Fabricio,Agosto Ramírez,9,1,8
André,Schürrle,9,3,75
Aleksandar,Mitrovic,9,4,134
Alfie,Mawson,9,2,19
Sergio,Rico,9,1,86
Joe,Bryan,9,2,52
Timothy,Fosu-Mensah,9,2,14
André-Frank,Zambo Anguissa,9,3,37
Luciano,Vietto,9,4,47
Ibrahima,Cissé,9,3,4
Zeze Steven,Sessegnon,9,2,0
Ryan,Babel,9,3,75
Håvard,Nordtveit,9,2,8
Lazar,Markovic,9,3,1
Harvey,Elliott,9,3,2
Luca,De La Torre,9,3,0
Jason,Puncheon,10,3,15
Ben,Hamer,10,1,9
Jonas,Lössl,10,1,99
Christopher,Schindler,10,2,76
Chris,Löwe,10,2,49
Tommy,Smith,10,2,9
Mathias,Jorgensen,10,2,67
Scott,Malone,10,2,0
