first_name,second_name,team,element_type,total_points
Florent,Hadergjonaj,10,2,50
Terence,Kongolo,10,2,60
Aaron,Mooy,10,3,76
Rajiv,van La Parra,10,3,10
Jonathan,Hogg,10,3,54
Philip,Billing,10,3,63
Tom,Ince,10,3,0
Danny,Williams,10,3,6
Abdelhamid,Sabiri,10,3,2
Alex,Pritchard,10,3,69
Ramadan,Sobhi,10,3,4
Juninho,Bacuna,10,3,39
Collin,Quaner,10,4,2
Laurent,Depoitre,10,4,34
Steve,Mounie,10,4,69
Elias,Kachunga,10,4,29
Erik,Durm,10,2,49
Adama,Diakhaby,10,3,19
Isaac,Mbenza,10,3,38
Jon Gorenc,Stankovic,10,2,24
Ryan,Schofield,10,1,0
Karlan,Grant,10,4,45
Joel,Coleman,10,1,2
Demeaco,Duhaney,10,2,1
Matthew,Daly,10,3,2
Aaron,Rowe,10,3,2
Kasper,Schmeichel,11,1,120
Eldin,Jakupovic,11,1,0
Wes,Morgan,11,2,76
Christian,Fuchs,11,2,3
Danny,Simpson,11,2,12
Yohan,Benalouane,11,2,0
Benjamin,Chilwell,11,2,118
Harry,Maguire,11,2,92
Ricardo Domingos,Barbosa Pereira,11,2,146
Jonny,Evans,11,2,77
Marc,Albrighton,11,3,63
Demarai,Gray,11,3,84
Daniel,Amartey,11,3,15
Wilfred,Ndidi,11,3,89
Vicente,Iborra,11,3,9
Matty,James,11,3,0
Hamza,Choudhury,11,3,20
Adrien Sebastian,Perruchet Silva,11,3,3
Fousseni,Diabaté,11,3,1
James,Maddison,11,3,137
Jamie,Vardy,11,4,174
Shinji,Okazaki,11,4,25
Kelechi,Iheanacho,11,4,58
Danny,Ward,11,1,0
Rachid,Ghezzal,11,3,28
Filip,Benkovic,11,2,0
Çaglar,Söyüncü,11,2,9
Nampalys,Mendy,11,3,58
Josh,Knight,11,2,0
Harvey,Barnes,11,3,43
Youri,Tielemans,11,3,63
Simon,Mignolet,12,1,0
Loris,Karius,12,1,0
Dejan,Lovren,12,2,63
Alberto,Moreno,12,2,4
Joseph,Gomez,12,2,55
Joel,Matip,12,2,83
Ragnar,Klavan,12,2,0
Trent,Alexander-Arnold,12,2,185
Virgil,van Dijk,12,2,208
Andrew,Robertson,12,2,213
Alex,Oxlade-Chamberlain,12,3,2
Jordan,Henderson,12,3,76
Adam,Lallana,12,3,23
Sadio,Mané,12,3,231
Georginio,Wijnaldum,12,3,108
Mohamed,Salah,12,3,259
James,Milner,12,3,101
Fabio Henrique,Tavares,12,3,65
Naby,Keita,12,3,67
Roberto,Firmino,12,4,160
Xherdan,Shaqiri,12,3,88
Alisson,Ramses Becker,12,1,176
Daniel,Sturridge,12,4,34
Divock,Origi,12,4,32
Rafael,Camacho,12,3,1
Curtis,Jones,12,3,0
Riyad,Mahrez,13,3,102
Ederson,Santana de Moraes,13,1,169
Claudio,Bravo,13,1,0
John,Stones,13,2,83
Vincent,Kompany,13,2,58
Nicolás,Otamendi,13,2,70
Kyle,Walker,13,2,150
Danilo Luiz,da Silva,13,2,46
Benjamin,Mendy,13,2,59
Aymeric,Laporte,13,2,177
Fabian,Delph,13,2,29
Raheem,Sterling,13,3,234
David,Silva,13,3,143
Fernando,Luiz Rosa,13,3,79
Kevin,De Bruyne,13,3,59
Ilkay,Gündogan,13,3,113
Leroy,Sané,13,3,156
Bernardo Mota,Veiga de Carvalho e Silva,13,3,154
Phil,Foden,13,3,25
Brahim,Diaz,13,3,0
Oleksandr,Zinchenko,13,3,44
Sergio,Agüero,13,4,201
Gabriel Fernando,de Jesus,13,4,79
Arijanet,Muric,13,1,0
Philippe,Sandler,13,2,0
David,de Gea,14,1,120
Sergio,Romero,14,1,0
Chris,Smalling,14,2,56
Phil,Jones,14,2,43
Luke,Shaw,14,2,91
Marcos,Rojo,14,2,2
Antonio,Valencia,14,2,17
Matteo,Darmian,14,2,14
Daley,Blind,14,2,0
Eric,Bailly,14,2,16
Victor,Lindelöf,14,2,85
Ashley,Young,14,2,73
José Diogo,Dalot Teixeira,14,2,27
Alexis,Sánchez,14,3,47
Nemanja,Matic,14,3,59
Juan,Mata,14,3,70
Marouane,Fellaini,14,3,26
Ander,Herrera,14,3,62
Jesse,Lingard,14,3,78
Anthony,Martial,14,3,122
Paul,Pogba,14,3,179
Scott,McTominay,14,3,38
Frederico,Rodrigues de Paula Santos,14,3,40
Marcus,Rashford,14,4,128
Romelu,Lukaku,14,4,115
Andreas,Pereira,14,3,27
Lee,Grant,14,1,0
Angel,Gomes,14,3,2
James,Garner,14,3,1
Tahith,Chong,14,3,2
Mason,Greenwood,14,4,4
Robert,Elliot,15,1,0
Karl,Darlow,15,1,0
Martin,Dubravka,15,1,131
DeAndre,Yedlin,15,2,63
Ciaran,Clark,15,2,42
Jamaal,Lascelles,15,2,95
Paul,Dummett,15,2,67
Florian,Lejeune,15,2,35
Javier,Manquillo,15,2,53
Chancel,Mbemba,15,2,0
Matt,Ritchie,15,3,110
Jonjo,Shelvey,15,3,39
Mohamed,Diamé,15,3,56
Christian,Atsu,15,3,55
Jacob,Murphy,15,3,16
Mikel,Merino,15,3,0
Isaac,Hayden,15,3,69
Sung-yueng,Ki,15,3,38
Dwight,Gayle,15,4,0
Ayoze,Pérez,15,4,141
Jose Luis,Mato Sanmartín,15,4,30
Robert Kenedy,Nunes do Nascimento,15,3,50
Fabian,Schär,15,2,93
Yoshinori,Muto,15,4,24
Salomón,Rondón,15,4,148
Federico,Fernández,15,2,47
Jamie,Sterry,15,2,0
Sean,Longstaff,15,3,26
Frederick,Woodman,15,1,0
Callum,Roberts,15,3,0
Miguel,Almirón,15,3,28
Antonio,Barreca,15,2,1
Kelland,Watts,15,3,0
Lewis,Cass,15,2,0
Danny,Ings,16,4,90
Alex,McCarthy,16,1,73
Fraser,Forster,16,1,2
Ryan,Bertrand,16,2,56
Maya,Yoshida,16,2,44
Cédric,Soares,16,2,52
Jack,Stephens,16,2,47
Sam,McQueen,16,2,0
Jan,Bednarek,16,2,49
Wesley,Hoedt,16,2,29
Steven,Davis,16,3,9
James,Ward-Prowse,16,3,94
Oriol,Romeu Vidal,16,3,55
Pierre-Emile,Højbjerg,16,3,90
Sofiane,Boufal,16,3,0
Joshua,Sims,16,3,11
Nathan,Redmond,16,3,137
Mario,Lemina,16,3,50
Stuart,Armstrong,16,3,75
Mohamed,Elyounoussi,16,3,28
Shane,Long,16,4,66
Charlie,Austin,16,4,46
Manolo,Gabbiadini,16,4,23
Guido,Carrillo,16,4,0
Angus,Gunn,16,1,47
Jannik,Vestergaard,16,2,50
Matt,Targett,16,2,36
Michael,Obafemi,16,4,13
Yan,Valery,16,2,54
Tyreke,Johnson,16,3,1
Kayne,Ramsay,16,2,1
Callum,Slattery,16,3,4
Sam,Gallagher,16,4,4
Alfie,Jones,16,2,0
Hugo,Lloris,17,1,145
Michel,Vorm,17,1,5
Toby,Alderweireld,17,2,107
Danny,Rose,17,2,86
Jan,Vertonghen,17,2,67
Ben,Davies,17,2,66
Kieran,Trippier,17,2,118
Kyle,Walker-Peters,17,2,28
Davinson,Sánchez,17,2,78
Serge,Aurier,17,2,24
Eric,Dier,17,3,56
Mousa,Dembélé,17,3,14
Erik,Lamela,17,3,67
Christian,Eriksen,17,3,161
Bamidele,Alli,17,3,94
Victor,Wanyama,17,3,24
Heung-Min,Son,17,3,159
Harry,Winks,17,3,53
Moussa,Sissoko,17,3,76
Lucas,Rodrigues Moura da Silva,17,3,131
Fernando,Llorente,17,4,41
Harry,Kane,17,4,160
Georges-Kévin,Nkoudou,17,3,4
Luke,Amos,17,3,1
Paulo,Gazzaniga,17,1,13
Alfie,Whiteman,17,1,0
Oliver,Skipp,17,3,12
Juan,Foyth,17,2,35
Timothy,Eyoma,17,2,0
Kazaiah,Sterling,17,4,0
George,Marsh,17,3,0
Vincent,Janssen,17,4,3
Heurelho,Gomes,18,1,0
Pontus,Dahlberg,18,1,0
Younes,Kaboul,18,2,0
Craig,Cathcart,18,2,93
Sebastian,Prödl,18,2,1
José,Holebas,18,2,93
Miguel,Britos,18,2,3
Christian,Kabasele,18,2,36
Daryl,Janmaat,18,2,50
Adrian,Mariappa,18,2,57
Francisco,Femenía Far,18,2,66
Marvin,Zeegelaar,18,2,0
Marc,Navarro,18,2,2
Adam,Masina,18,2,26
Nathaniel,Chalobah,18,3,10
Tom,Cleverley,18,3,25
Etienne,Capoue,18,3,79
Abdoulaye,Doucouré,18,3,124
Roberto,Pereyra,18,3,122
Will,Hughes,18,3,87
Gerard,Deulofeu,18,3,133
Andre,Gray,18,4,83
Troy,Deeney,18,4,116
Stefano,Okaka,18,4,1
Jerome,Sinclair,18,4,0
Ben,Foster,18,1,129
Ken,Sema,18,3,37
Domingos,Quina,18,3,17
Isaac,Success Ajayi,18,4,42
Ben,Wilmot,18,2,1
Adalberto,Peñaranda,18,4,0
Adrián,San Miguel del Castillo,19,1,0
Lukasz,Fabianski,19,1,143
Winston,Reid,19,2,0
Aaron,Cresswell,19,2,34
Angelo,Ogbonna,19,2,48
Sam,Byram,19,2,0
Pablo,Zabaleta,19,2,56
Declan,Rice,19,2,92
Reece,Oxford,19,2,0
Ryan,Fredericks,19,2,38
Issa,Diop,19,2,87
Arthur,Masuaku,19,3,49
Mark,Noble,19,3,99
Pedro,Obiang,19,3,43
Manuel,Lanzini,19,3,31
Michail,Antonio,19,3,118
Edimilson,Fernandes,19,3,0
Marko,Arnautovic,19,4,117
Andy,Carroll,19,4,12
Javier,Hernández Balcázar,19,4,86
Jordan,Hugill,19,4,0
Jack,Wilshere,19,3,17
Andriy,Yarmolenko,19,3,27
Fabián,Balbuena,19,2,61
Felipe Anderson,Pereira Gomes,19,3,155
Robert,Snodgrass,19,3,85
Lucas,Pérez,19,4,33
Carlos,Sánchez,19,3,9
Grady,Diangana,19,3,25
Joe,Powell,19,3,0
Conor,Coventry,19,3,0
Alexandre Nascimento,Costa Silva,19,4,1
Samir,Nasri,19,3,14
Ben,Johnson,19,2,2
Nathan,Holland,19,3,0
John,Ruddy,20,1,7
Will,Norris,20,1,1
Willy,Boly,20,2,120
Barry,Douglas,20,2,0
Matt,Doherty,20,2,144
Romain,Saïss,20,2,47
Ryan,Bennett,20,2,89
Danny,Batth,20,2,0
Roderick Jefferson,Gonçalves Miranda,20,2,0
Conor,Coady,20,2,94
Rúben Gonçalo,Silva Nascimento Vinagre,20,2,24
Diogo,Jota,20,3,139
Rúben Diogo,da Silva Neves,20,3,104
Ivan,Cavaleiro,20,3,48
Hélder,Costa,20,3,52
Bright,Enobakhare,20,3,0
Raúl,Jiménez,20,4,181
Bonatini Lohner Maia,Bonatini,20,4,10
Morgan,Gibbs-White,20,3,37
Rafa,Mir,20,4,0
Rui Pedro,dos Santos Patrício,20,1,118
João Filipe Iria,Santos Moutinho,20,3,119
Jonathan,Castro Otto,20,2,103
Adama,Traoré,20,3,44
Leander,Dendoncker,20,3,48
Kortney,Hause,20,2,0
Ryan John,Giles,20,3,0
Max,Kilman,20,2,1
Cameron,John,20,2,0
